id_venta,fecha,id_producto,cantidad,precio_unitario,id_sucursal
101,2024-02-05,P006,4,50,S002
102,2024-02-01,P007,3,50,S001
103,2024-02-18,P009,1,300,S001
104,2024-02-22,P009,4,100,S002
105,2024-02-27,P018,4,300,S002
106,2024-02-17,P011,3,50,S002
107,2024-02-20,P002,1,100,S001
108,2024-02-18,P019,5,300,S001
109,2024-02-28,P001,3,50,S002
110,2024-02-28,P007,5,300,S002
111,2024-02-03,P005,2,50,S001
112,2024-02-15,P006,5,100,S002
113,2024-02-24,P019,1,100,S001
114,2024-02-01,P002,5,100,S002
115,2024-02-04,P019,5,300,S001
116,2024-02-19,P016,1,100,S002
117,2024-02-28,P018,5,50,S001
118,2024-02-12,P019,4,300,S001
119,2024-02-26,P005,5,300,S001
120,2024-02-02,P001,4,50,S002
121,2024-02-16,P016,4,50,S002
122,2024-02-03,P019,1,100,S001
123,2024-02-12,P018,2,100,S002
124,2024-02-03,P013,5,50,S002
125,2024-02-04,P008,2,100,S002
126,2024-02-22,P017,3,100,S002
127,2024-02-05,P014,1,50,S002
128,2024-02-05,P014,1,300,S001
129,2024-02-17,P016,3,100,S002
130,2024-02-22,P001,5,50,S002
131,2024-02-13,P020,3,50,S002
132,2024-02-25,P007,5,300,S002
133,2024-02-16,P002,3,300,S002
134,2024-02-01,P018,5,50,S001
135,2024-02-11,P006,1,300,S001
136,2024-02-17,P003,4,300,S002
137,2024-02-10,P010,2,300,S001
138,2024-02-03,P020,5,50,S001
139,2024-02-17,P012,1,100,S002
140,2024-02-21,P001,1,50,S002
141,2024-02-05,P009,3,300,S001
142,2024-02-25,P003,1,100,S001
143,2024-02-10,P004,2,50,S002
144,2024-02-08,P008,1,300,S001
145,2024-02-21,P009,2,100,S001
146,2024-02-16,P006,1,50,S002
147,2024-02-09,P017,3,100,S002
148,2024-02-22,P017,2,50,S002
149,2024-02-01,P006,2,300,S002
150,2024-02-04,P010,2,100,S002
151,2024-02-03,P002,2,100,S002
152,2024-02-10,P001,1,300,S001
153,2024-02-12,P010,2,50,S002
154,2024-02-26,P016,1,100,S001
155,2024-02-17,P006,4,50,S002
156,2024-02-23,P001,3,300,S002
157,2024-02-27,P013,1,300,S002
158,2024-02-27,P009,1,50,S002
159,2024-02-22,P001,2,300,S001
160,2024-02-22,P003,4,300,S002
161,2024-02-22,P015,3,50,S002
162,2024-02-09,P016,5,50,S002
163,2024-02-11,P011,4,50,S001
164,2024-02-28,P001,3,100,S001
165,2024-02-27,P007,3,100,S002
166,2024-02-08,P014,1,50,S001
167,2024-02-04,P019,4,50,S001
168,2024-02-23,P006,2,300,S002
169,2024-02-20,P016,3,50,S002
170,2024-02-03,P011,4,100,S001
171,2024-02-15,P013,2,50,S001
172,2024-02-11,P011,1,100,S002
173,2024-02-21,P020,2,300,S002
174,2024-02-19,P001,1,300,S002
175,2024-02-24,P003,2,300,S001
176,2024-02-04,P016,5,50,S002
177,2024-02-28,P001,2,50,S001
178,2024-02-07,P020,2,100,S002
179,2024-02-25,P010,4,300,S002
180,2024-02-20,P017,4,300,S002
181,2024-02-07,P005,1,100,S001
182,2024-02-13,P016,3,300,S002
183,2024-02-24,P010,1,50,S001
184,2024-02-05,P009,2,300,S001
185,2024-02-22,P009,2,300,S001
186,2024-02-15,P020,5,100,S001
187,2024-02-20,P011,3,300,S002
188,2024-02-22,P009,4,300,S001
189,2024-02-20,P002,1,300,S001
190,2024-02-09,P005,5,300,S001
191,2024-02-20,P003,4,50,S001
192,2024-02-22,P020,1,100,S002
193,2024-02-28,P018,3,300,S001
194,2024-02-11,P002,3,50,S001
195,2024-02-18,P004,3,50,S001
196,2024-02-07,P012,2,100,S002
197,2024-02-17,P009,4,100,S002
198,2024-02-17,P008,1,50,S002
199,2024-02-13,P016,5,50,S001
200,2024-02-15,P019,3,50,S001
